menu_id,restaurant_id,food_id,cuisine,price
24824,102578,29,"Chinese,Biryani",199.0
24977,552372,29,"Chinese,Snacks",120.0
25450,102631,29,"Indian,Chinese",239.0
25600,102631,29,"Indian,Chinese",239.0
25753,102039,29,"Indian,Chinese",200.0
25846,102039,29,"Indian,Chinese",200.0
26158,109387,29,"Indian,Chinese",150.0
26292,109387,29,"Indian,Chinese",150.0
26337,306094,29,"Indian,Chinese",170.0
26466,306094,29,"Indian,Chinese",170.0
26592,102577,29,Indian,200.0
26654,102577,29,Indian,200.0
27547,102040,29,"Indian,Biryani",179.0
27771,102040,29,"Indian,Biryani",179.0
30,567335,30,"Beverages,Pizzas",250.0
31,567335,31,"Beverages,Pizzas",260.0
2593,475283,31,Indian,350.0
16861,447526,31,"Pizzas,Pastas",259.0
16948,447526,31,"Pizzas,Pastas",259.0
23332,390901,31,"Chinese,Biryani",135.0
23359,390901,31,"Chinese,Biryani",135.0
32,567335,32,"Beverages,Pizzas",65.0
33,567335,33,"Beverages,Pizzas",80.0
34,567335,34,"Beverages,Pizzas",90.0
35,567335,35,"Beverages,Pizzas",100.0
333,158203,35,Beverages,145.0
469,158203,35,Beverages,145.0
636,543530,35,"Italian-American,Fast Food",195.0
1853,435582,35,"Pizzas,Beverages",135.0
2042,382204,35,"Chinese,Pizzas",100.0
2151,368328,35,North Indian,100.0
2264,530878,35,"Pizzas,Fast Food",150.0
3166,459775,35,"Beverages,Pizzas",299.0
3368,531363,35,"Fast Food,Italian",195.0
14893,109549,35,"Bakery,Pizzas",300.0
16943,447526,35,"Pizzas,Pastas",189.0
18516,364627,35,"Chinese,Beverages",195.0
21189,186264,35,"Pizzas,Snacks",109.0
21236,186264,35,"Pizzas,Snacks",109.0
36,567335,36,"Beverages,Pizzas",125.0
2631,475283,36,Indian,200.0
6057,397980,36,"Chinese,North Indian",109.0
14258,102582,36,"Bakery,Desserts",80.0
14311,102582,36,"Bakery,Desserts",80.0
19243,497063,36,"Indian,Chinese",110.0
20480,116272,36,"Fast Food,Snacks",220.0
20494,116272,36,"Fast Food,Snacks",220.0
20657,102581,36,"Indian,Chinese",150.0
22276,132538,36,"Pizzas,Italian",148.0
22937,263297,36,"Indian,Biryani",157.0
23596,127306,36,"Indian,Chinese",120.0
27227,385636,36,"Bakery,Desserts",50.0
37,567335,37,"Beverages,Pizzas",120.0
38,567335,38,"Beverages,Pizzas",120.0
20497,116272,38,"Fast Food,Snacks",220.0
20656,102581,38,"Indian,Chinese",150.0
22469,533855,38,"Fast Food,Pastas",70.0
22935,263297,38,"Indian,Biryani",139.0
23589,127306,38,"Indian,Chinese",85.0
39,567335,39,"Beverages,Pizzas",65.0
40,567335,40,"Beverages,Pizzas",80.0
41,567335,41,"Beverages,Pizzas",90.0
42,567335,42,"Beverages,Pizzas",90.0
714,543530,42,"Italian-American,Fast Food",130.0
1724,427610,42,"Beverages,Pizzas",135.0
3431,531363,42,"Fast Food,Italian",130.0
5696,549242,42,"Indian,Beverages",99.0
6750,137701,42,"Indian,Chinese",175.0
9126,478936,42,"Nepalese,Chinese",150.0
10518,174586,42,"South Indian,North Indian",170.0
14456,263185,42,"Bakery,Beverages",229.0
14631,263185,42,"Bakery,Beverages",229.0
19640,327008,42,"Chinese,Continental",195.0
43,567335,43,"Beverages,Pizzas",80.0
3041,161408,43,"North Indian,Fast Food",69.0
6835,575990,43,"Chinese,North Indian",40.0
7934,578207,43,"South Indian,Chinese",50.0
8274,102842,43,"Indian,Chinese",69.0
8304,138891,43,"Biryani,Street Food",45.0
8668,558957,43,"North Indian,Tandoor",70.0
8928,428013,43,"Chinese,Indian",70.0
9638,557008,43,"North Indian,Chinese",119.0
9773,557008,43,"North Indian,Chinese",119.0
11265,183165,43,Indian,100.0
11309,183165,43,Indian,100.0
11653,131676,43,Chinese,105.0
11666,131676,43,Chinese,105.0
12004,517939,43,"South Indian,Chinese",100.0
12691,174458,43,"Bengali,Indian",90.0
12779,129691,43,"Street Food,Chinese",65.0
13095,486482,43,"Indian,Chinese",79.0
16359,439417,43,North Indian,70.0
19265,378028,43,"Indian,Chinese",79.0
20748,102581,43,"Indian,Chinese",165.0
22433,370259,43,"Chinese,Snacks",60.0
22499,125180,43,"Indian,Chinese",60.0
22551,125180,43,"Indian,Chinese",60.0
23353,390901,43,"Chinese,Biryani",70.0
23420,390901,43,"Chinese,Biryani",70.0
23465,127306,43,"Indian,Chinese",65.0
23558,127306,43,"Indian,Chinese",65.0
23890,308169,43,Indian,85.0
23917,308169,43,Indian,85.0
24793,102578,43,"Chinese,Biryani",90.0
24861,102578,43,"Chinese,Biryani",90.0
24961,552372,43,"Chinese,Snacks",50.0
25995,102039,43,"Indian,Chinese",56.0
26661,102577,43,Indian,80.0
26703,242722,43,"Biryani,Chinese",55.0
26809,242722,43,"Biryani,Chinese",55.0
27779,414252,43,"Bengali,Indian",60.0
27826,414252,43,"Bengali,Indian",60.0
28082,554195,43,"North Indian,South Indian",60.0
44,567335,44,"Beverages,Pizzas",80.0
3821,242943,44,"European,Italian",139.0
6834,575990,44,"Chinese,North Indian",30.0
7609,412357,44,"Chinese,Indian",66.24
7653,412357,44,"Chinese,Indian",66.24
7933,578207,44,"South Indian,Chinese",30.0
8271,102842,44,"Indian,Chinese",59.0
8663,558957,44,"North Indian,Tandoor",60.0
8924,428013,44,"Chinese,Indian",55.0
11268,183165,44,Indian,90.0
11312,183165,44,Indian,90.0
11652,131676,44,Chinese,75.0
11665,131676,44,Chinese,75.0
12007,517939,44,"South Indian,Chinese",90.0
12690,174458,44,"Bengali,Indian",80.0
12792,129691,44,"Street Food,Chinese",50.0
13089,486482,44,"Indian,Chinese",69.0
15073,282630,44,"Chaat,South Indian",165.0
15186,282630,44,"Chaat,South Indian",165.0
16357,439417,44,North Indian,70.0
16814,518819,44,"Indian,Snacks",80.0
19270,378028,44,"Indian,Chinese",110.0
20576,102581,44,"Indian,Chinese",130.0
20746,102581,44,"Indian,Chinese",130.0
21627,153339,44,"Indian,Chinese",199.0
21864,153339,44,"Indian,Chinese",199.0
22430,370259,44,"Chinese,Snacks",60.0
23466,127306,44,"Indian,Chinese",60.0
23563,127306,44,"Indian,Chinese",60.0
23887,308169,44,Indian,65.0
23914,308169,44,Indian,65.0
24791,102578,44,"Chinese,Biryani",80.0
24858,102578,44,"Chinese,Biryani",80.0
24939,552372,44,"Chinese,Snacks",40.0
24959,552372,44,"Chinese,Snacks",40.0
25250,120193,44,"Chinese,Indian",55.0
25291,120193,44,"Chinese,Indian",55.0
25993,102039,44,"Indian,Chinese",49.0
26086,127463,44,Bakery,30.0
26665,102577,44,Indian,70.0
26704,242722,44,"Biryani,Chinese",50.0
26812,242722,44,"Biryani,Chinese",50.0
27825,414252,44,"Bengali,Indian",50.0
28083,554195,44,"North Indian,South Indian",50.0
45,567335,45,"Beverages,Pizzas",90.0
603,187912,45,"Fast Food,Indian",200.0
3028,161408,45,"North Indian,Fast Food",75.0
6838,575990,45,"Chinese,North Indian",70.0
7612,412357,45,"Chinese,Indian",116.64
7657,412357,45,"Chinese,Indian",116.64
7932,578207,45,"South Indian,Chinese",80.0
8273,102842,45,"Indian,Chinese",99.0
8666,558957,45,"North Indian,Tandoor",115.0
8925,428013,45,"Chinese,Indian",110.0
9535,342366,45,"Biryani,North Indian",159.0
11269,183165,45,Indian,140.0
11313,183165,45,Indian,140.0
11657,131676,45,Chinese,125.0
11670,131676,45,Chinese,125.0
12008,517939,45,"South Indian,Chinese",140.0
12693,174458,45,"Bengali,Indian",170.0
12786,129691,45,"Street Food,Chinese",95.0
13090,486482,45,"Indian,Chinese",110.0
15007,487422,45,"Chinese,South Indian",80.0
16356,439417,45,North Indian,125.0
19269,378028,45,"Indian,Chinese",110.0
20747,102581,45,"Indian,Chinese",210.0
21628,153339,45,"Indian,Chinese",239.0
