restaurant_id,user_id,name,city,rating,rating_count,average_cost,cuisine,address
451742,3335,Mainland India,Adityapur,--,Too Few Ratings,200,"Indian,Thalis","Mainland India, 2ND FLOOR, ADITYA TOWER, MAIN  ROAD, BISTUPUR, JASMHEDPUR,  Muncipality, Purbi Singhbhum, ,  Jharkhand, 831001"
451743,3338,So china,Adityapur,--,Too Few Ratings,299,"Chinese,Tibetan","So china, 2ND FLOOR, ADITYA TOWER, MAIN  ROAD, BISTUPUR, JASMHEDPUR,  Muncipality, Purbi Singhbhum, ,  Jharkhand, 831001"
116272,3349,Cafe Regal,Adityapur,--,Too Few Ratings,200,"Fast Food,Snacks","Cafe Regal, 33, Regal building, Bistupur main road"
102581,3352,Chopsticks,Adityapur,3.3,20+ ratings,499,"Indian,Chinese","Chopsticks, Dcosta mansion, main road Bistupur"
508701,3360,Momo Kitchen,Adityapur,--,Too Few Ratings,200,"Chinese,Snacks","Momo Kitchen, A, Rd no.4,phase-2, Anand vihar, Adityapur, Jamshedpur, Jharkhand 832109, India"
549383,3365,AL- HUSSAIN RESTAURANT,Adityapur,--,Too Few Ratings,300,"Chinese,Biryani","AL- HUSSAIN RESTAURANT, SHOP NO. 2 , DHATKIDIH MARKET AREA, BISTUPUR, MUNICIPALITY, PURBI SINGBHUM , JHARKHAND -831001"
440950,3369,Taste of China,Adityapur,--,Too Few Ratings,199,"Chinese,Thai","Taste of China, SHOP NO. 89, DHATKIDIH MARKET,  BISTUPUR, Muncipality, Purbi  Singhbhum, , Jharkhand, 831001"
355561,3395,TAZ CAKES N MOUSSE.,Adityapur,--,Too Few Ratings,200,Desserts,"TAZ CAKES N MOUSSE., SULTANIA MANSION , PURANI BASTI  ROAD, INFRONT OF AL MADINA MEDICAL  STORE, JUGSALAI , JAMSHEDPUR 831006,  Jugsalai, Jamshedpur Urban, Purbi  Singhbhum, Jharkhand-831006"
462505,3422,Tasty Spoon & Gungun Tiffin,Adityapur,--,Too Few Ratings,200,"Indian,Chinese","Tasty Spoon & Gungun Tiffin, Krishna complex Near vishwakarma mandir Barbera db road"
186264,3425,New US Pizza,Adityapur,3.6,100+ ratings,299,"Pizzas,Snacks","New US Pizza, J P Road, Bagbera Colony, Jugsalai, Jamshedpur, Jharkhand, India"
211142,3440,Bhook Pyaas,Adityapur,3.5,20+ ratings,200,"Chinese,Indian","Bhook Pyaas, Station Road, Kumar Chowk, Jugsalai, Jamshedpur, Jharkhand, India"
489422,3456,Aditi Foods,Adityapur,3.8,20+ ratings,100,Indian,"Aditi Foods, D B M S Canteen Road No-7 B,H area, Municipality, Purbi Singbhum, Jharkhand, 831005"
401391,3464,Chinimama,Adityapur,4.3,20+ ratings,199,"Chinese,Biryani","Chinimama, Block No. 92/2/4, Road No. 3, Bagbera  Colony, Bagbera, Jamshedpur, Purbi  Singhbhum, Jharkhand - 831002"
354669,3467,Brunch Italino (Kadma Market),Adityapur,3.9,20+ ratings,200,"Bakery,Desserts","Brunch Italino (Kadma Market), KADMA BAZAAR, BESIDE SWEET MART,  Purbi Singhbhum, Jharkhand-831005"
